EHS_Base_ID,Latitude,Longitude,Type
Cape Breton Regional Hospital,46.1130158306037,-60.174133616836095,Hospital_Colocated
Northside General Hospital,46.21820836429978,-60.23555151227749,Hospital_Colocated
Victoria County Memorial Hospital,46.100263898319795,-60.75602895190468,Hospital_Colocated
Inverness Consolidated Memorial Hospital,46.22696781337693,-61.30484314307468,Hospital_Colocated
Aberdeen Hospital,45.5729758405446,-62.64326836972356,Hospital_Colocated
New Waterford Consolidated Hospital,46.239863345496474,-60.085793288911454,Hospital_Colocated
Strait - Richmond Hospital,45.61708351662631,-61.22292639766177,Hospital_Colocated
Sacred Heart Community Health Centre,46.623522547371586,-61.015063349964386,Hospital_Colocated
Glace Bay Health Care Facility,46.18321184114736,-59.938572836651716,Hospital_Colocated
St. Martha’s Regional Hospital,45.62817596985708,-61.98219333746746,Hospital_Colocated
Eastern Memorial Hospital,45.33262820682038,-60.98400464643825,Hospital_Colocated
Sutherland Harris Memorial Hospital,45.67651539921786,-62.72703251932275,Hospital_Colocated
Buchanan Memorial Community Health Centre,46.81056959301277,-60.33432729802968,Hospital_Colocated
St. Mary’s Memorial Hospital,45.14693579634446,-61.981780294520306,Hospital_Colocated
Eastern Kings Memorial Community Health Centre,45.08760374819833,-64.37074371585221,Hospital_Colocated
Hants Community Hospital,44.98638355369311,-64.12037375298009,Hospital_Colocated
Queens General Hospital,44.03765341536023,-64.70559426892093,Hospital_Colocated
Soldiers Memorial Hospital,44.94673391509305,-65.05933935701924,Hospital_Colocated
Roseway Hospital,43.74999033372275,-65.30953110510069,Hospital_Colocated
Western Kings Memorial Health Centre,45.0366967359491,-64.73657929405101,Hospital_Colocated
Guysborough Memorial Hospital,45.40234081804432,-61.5071355034544,Hospital_Colocated
Yarmouth Regional Hospital,43.850524495228235,-66.12156874783281,Hospital_Colocated
Annapolis Community Health Centre,44.73657466491257,-65.50180436685771,Hospital_Colocated
Valley Regional Hospital,45.08266472523682,-64.500889798259,Hospital_Colocated
North Cumberland Memorial Hospital,45.85615154386532,-63.658904768367535,Hospital_Colocated
Cumberland Regional Health Care Centre,45.803440001139904,-64.19769949378933,Hospital_Colocated
Cobequid Community Health Centre,44.756916674813866,-63.6586009337315,Hospital_Colocated
Integrated Chronic Care Service,44.81001215566181,-63.60599522342205,Hospital_Colocated
Fishermen's Memorial Hospital,44.3822758294343,-64.32695243762808,Hospital_Colocated
South Shore Regional Hospital,44.38313653214071,-64.51077334456812,Hospital_Colocated
South Cumberland Community Care Centre,45.409087171378324,-64.32593916226105,Hospital_Colocated
Lillian Fraser Memorial Hospital,45.71153621241759,-63.29635970402658,Hospital_Colocated
Twin Oaks Memorial Hospital,44.78303534971087,-63.158333445666635,Hospital_Colocated
Bayview Memorial Health Centre,45.34621190232823,-64.79483503032003,Hospital_Colocated
All Saints Springhill Hospital,45.650499307025406,-64.05159762320923,Hospital_Colocated
Digby General Hospital,44.616533787903755,-65.76166737432966,Hospital_Colocated
IWK Health Centre,44.63765107239818,-63.582908847707046,Hospital_Colocated
East Coast Forensic Hospital,44.721318006872465,-63.59190651331347,Hospital_Colocated
QEII - Victoria General (VG) Site,44.63840489234355,-63.580402405169465,Hospital_Colocated
The Nova Scotia Hospital,44.652052389368194,-63.54888485020512,Hospital_Colocated
Eastern Shore Memorial Hospital,44.920663210921994,-62.53286404867581,Hospital_Colocated
Musquodoboit Valley Memorial Hospital,45.04028911493914,-63.14037764272095,Hospital_Colocated
QEII - Halifax Infirmary Site,44.64541455900125,-63.58709674369862,Hospital_Colocated
Nova Scotia Rehabilitation Centre,44.63970342623116,-63.58183283938107,Hospital_Colocated
Dartmouth General Hospital,44.653987611022856,-63.547621423330824,Hospital_Colocated
Kings Regional Health & Regional Rehabilitation Centre,45.05736471404286,-64.666451591963,Hospital_Colocated
Colchester East Hants Health Centre,45.34952312863823,-63.303384805904166,Hospital_Colocated
St. Anne's Community and Nursing,45.51104210652296,-61.03191108211205,Hospital_Colocated
