EHS_Base_ID,Latitude,Longitude,Region,Coverage_Area,Population_Served,Communities_Served,Population_Density
EHS_Base_01,44.18125856875637,-64.96667288962934,Region_1,15km_radius,10452,3,3484.0
EHS_Base_02,44.86656547897201,-63.1501433817126,Region_2,15km_radius,440057,4,110014.25
EHS_Base_03,46.00959851638164,-60.27005566493641,Region_3,15km_radius,98318,3,32772.666666666664
EHS_Base_04,45.56216171067896,-63.38948576912225,Region_4,15km_radius,27851,3,9283.666666666666
EHS_Base_05,45.05562181180916,-64.30670360314645,Region_5,15km_radius,48522,6,8087.0
EHS_Base_06,43.91327796966418,-65.94123991141788,Region_6,15km_radius,24947,4,6236.75
EHS_Base_07,44.41731268022812,-64.55258716809914,Region_7,15km_radius,37844,5,7568.8
EHS_Base_08,44.72924665726369,-65.39433298649016,Region_8,15km_radius,16303,7,2329.0
EHS_Base_09,45.610403391671966,-61.935549743158276,Region_9,15km_radius,20129,4,5032.25
EHS_Base_10,45.7283768996268,-64.1745429979883,Region_10,15km_radius,26255,5,5251.0
EHS_Base_11,45.29242395842116,-63.120058944951865,Region_11,15km_radius,28512,4,7128.0
EHS_Base_12,45.56804921862316,-62.656447226264476,Region_12,15km_radius,43657,9,4850.777777777777
EHS_Base_13,46.54054396767715,-60.8038965000311,Region_13,15km_radius,7880,2,3940.0
EHS_Base_14,44.30552335676187,-65.86555567400933,Region_14,15km_radius,14920,2,7460.0
EHS_Base_15,45.55361712337806,-61.19755899179754,Region_15,15km_radius,17336,7,2476.5714285714284
EHS_Base_16,45.09973795889577,-63.6598453930933,Region_16,15km_radius,27188,3,9062.666666666666
EHS_Base_17,46.033223048824766,-61.11228213309532,Region_17,15km_radius,13697,6,2282.8333333333335
EHS_Base_18,43.72458374845574,-65.44417535782442,Region_18,15km_radius,13704,5,2740.8
EHS_Base_19,44.67673105141633,-64.35192350521936,Region_19,15km_radius,10819,4,2704.75
EHS_Base_20,44.96579596625027,-64.75820253209945,Region_20,15km_radius,40992,6,6832.0
