EHS_Base_ID,Latitude,Longitude,Region,Coverage_Area,Population_Served,Communities_Served,Population_Density
EHS_Base_01,44.86656547897201,-63.1501433817126,Region_1,15km_radius,440057,4,110014.25
EHS_Base_02,46.00959851638164,-60.27005566493641,Region_2,15km_radius,98318,3,32772.666666666664
EHS_Base_03,43.837253736382536,-65.28448726023913,Region_3,15km_radius,6456,3,2152.0
EHS_Base_04,45.66867125144076,-62.8469584154387,Region_4,15km_radius,9709,3,3236.3333333333335
EHS_Base_05,44.96526483867682,-64.69384342292629,Region_5,15km_radius,33158,3,11052.666666666666
EHS_Base_06,45.549000090167056,-63.26512021212877,Region_6,15km_radius,19806,1,19806.0
EHS_Base_07,44.41731268022812,-64.55258716809914,Region_7,15km_radius,37844,5,7568.8
EHS_Base_08,45.62546976503654,-61.07538059509346,Region_8,15km_radius,12751,6,2125.1666666666665
EHS_Base_09,45.8329542123604,-64.12911924390335,Region_9,15km_radius,15098,2,7549.0
EHS_Base_10,44.40204860767803,-65.72237758721782,Region_10,15km_radius,7242,1,7242.0
EHS_Base_11,45.09973795889577,-63.6598453930933,Region_11,15km_radius,27188,3,9062.666666666666
EHS_Base_12,46.63887063350517,-60.54756008829008,Region_12,15km_radius,2673,1,2673.0
EHS_Base_13,45.610403391671966,-61.935549743158276,Region_13,15km_radius,20129,4,5032.25
EHS_Base_14,43.91327796966418,-65.94123991141788,Region_14,15km_radius,24947,4,6236.75
EHS_Base_15,45.112532601785745,-64.44166543316045,Region_15,15km_radius,29645,5,5929.0
EHS_Base_16,44.18125856875637,-64.96667288962934,Region_16,15km_radius,10452,3,3484.0
EHS_Base_17,45.30073379985582,-63.19800924305787,Region_17,15km_radius,26351,3,8783.666666666666
EHS_Base_18,46.04232282259051,-61.28663475616668,Region_18,15km_radius,5742,2,2871.0
EHS_Base_19,44.970111107157166,-64.11582025038898,Region_19,15km_radius,19620,2,9810.0
EHS_Base_20,44.919950782403404,-65.1332475087543,Region_20,15km_radius,11678,3,3892.6666666666665
EHS_Base_21,43.624225381726255,-65.58641409375305,Region_21,15km_radius,7248,2,3624.0
EHS_Base_22,45.555166813970295,-64.01306603336037,Region_22,15km_radius,10548,2,5274.0
EHS_Base_23,44.67673105141633,-64.35192350521936,Region_23,15km_radius,10819,4,2704.75
EHS_Base_24,44.21447935218582,-66.0006033041922,Region_24,15km_radius,7678,1,7678.0
EHS_Base_25,45.35379312473309,-61.53734017748428,Region_25,15km_radius,4585,1,4585.0
EHS_Base_26,45.54637390368068,-62.67352167978286,Region_26,15km_radius,25562,5,5112.4
EHS_Base_27,46.16483833928795,-60.79536983644217,Region_27,15km_radius,4768,2,2384.0
EHS_Base_28,45.51762292288424,-62.383834500706485,Region_28,15km_radius,8386,1,8386.0
EHS_Base_29,46.490068227758144,-60.9354861348657,Region_29,15km_radius,5207,1,5207.0
EHS_Base_30,45.19109465178321,-62.16954145055515,Region_30,15km_radius,2161,1,2161.0
EHS_Base_31,45.710122758279034,-63.67382033704722,Region_31,15km_radius,5453,2,2726.5
EHS_Base_32,45.819921321215304,-61.27227744805185,Region_32,15km_radius,3187,2,1593.5
EHS_Base_33,45.50067599659516,-64.57032754899332,Region_33,15km_radius,3201,1,3201.0
EHS_Base_34,44.67733461884517,-65.4585038753111,Region_34,15km_radius,11716,6,1952.6666666666667
