GEO_NAME,latitude,longitude,C1_COUNT_TOTAL,cluster,distance_to_ems
"Barrington, Municipal district (MD)",43.64389006997893,-65.58084197925176,6523,17,14.187321023118598
"Clark's Harbour, Town (T)",43.447297434868034,-65.63654775291435,725,17,34.50700970251533
"Shelburne, Municipal district (MD)",43.877497358091986,-65.28968799025236,4336,17,21.043471799635295
"Shelburne, Town (T)",43.770295415795125,-65.31890642264459,1644,17,11.2733513032825
"Lockeport, Town (T)",43.70192418872189,-65.1182362763485,476,17,26.317415340355655
"Argyle, Municipal district (MD)",43.92662092653887,-65.71760926031237,7870,5,17.972984654754125
"Yarmouth, Municipal district (MD)",43.955529051414025,-66.00101740842786,10067,5,6.70706423309854
"Yarmouth, Town (T)",43.837664409455265,-66.1071110995519,6829,5,15.730793032101612
"Yarmouth 33, Indian reserve (IRI)",43.83600886517303,-66.081896364643,181,5,14.175112006604468
"Clare, Municipal district (MD)",44.21447935218582,-66.0006033041922,7678,13,14.769874236867848
"Digby, Municipal district (MD)",44.40204860767803,-65.72237758721782,7242,13,15.645835297030054
"Digby, Town (T)",44.62389567184244,-65.76136266868987,2001,7,31.295879923297147
"Bear River (Part) 6, Indian reserve (IRI)",44.54963618678571,-65.62099090122477,141,7,26.841545399546757
"Medway River 11, Indian reserve (IRI)",44.268113825903235,-64.84251859117181,15,0,13.825572498307
"Ponhook Lake 10, Indian reserve (IRI)",44.16794936922141,-64.99714714629454,15,0,2.845485653315703
"Queens, Regional municipality (RGM)",44.1811527166297,-64.96680771985645,10422,0,0.01594165524819378
"Wildcat 12, Indian reserve (IRI)",44.353994666890245,-64.92020510313732,49,6,30.04927260352299
"Annapolis, Subd. D, Subdivision of county municipality (SC)",44.618161056599654,-65.16437158071518,3049,7,21.982378942776194
"Annapolis, Subd. A, Subdivision of county municipality (SC)",44.72249654760313,-65.4984876211086,5980,7,8.262582859276693
"Bear River 6B, Indian reserve (IRI)",44.705927038240816,-65.50196280410883,15,7,8.89072122526818
"Annapolis Royal, Town (T)",44.74310779412049,-65.5115672077964,530,7,9.387476427153592
"Annapolis, Subd. B, Subdivision of county municipality (SC)",44.861839079786314,-65.2304293166785,4587,7,19.612210523958048
"Annapolis, Subd. C, Subdivision of county municipality (SC)",44.962156159171975,-65.0693715090891,5218,19,24.484893801421297
"Middleton, Town (T)",44.944686887008956,-65.0732005324087,1873,19,24.897462972885663
"Lunenburg, Municipal district (MD)",44.43202211670969,-64.59025613403603,25545,6,3.4093357413942
"Bridgewater, Town (T)",44.382263394619706,-64.52512279699287,8790,6,4.466520892732748
"Lunenburg, Town (T)",44.37688890011922,-64.31962929826751,2396,6,19.046413689042023
"Mahone Bay, Town (T)",44.44765913264441,-64.38276749184557,1064,6,13.899761832192741
"Chester, Municipal district (MD)",44.67722112755853,-64.35252607236673,10693,18,0.07238483883699254
"Gold River 21, Indian reserve (IRI)",44.558072125063596,-64.34421213496172,81,18,13.208380268364023
"Pennal 19, Indian reserve (IRI)",44.794775510320385,-64.43524849331419,30,18,14.683641260493244
"Kings, Subd. A, Subdivision of county municipality (SC)",44.95940023340247,-64.75583282994057,22355,19,0.73520626194354
"Annapolis Valley First Nation, Indian reserve (IRI)",45.0682736874264,-64.65099979381107,743,19,14.17221678205093
"Berwick, Town (T)",45.04807507667779,-64.7338157057251,2455,19,9.3477431991366
"Kings, Subd. C, Subdivision of county municipality (SC)",44.95661655365237,-64.51608765530828,8348,19,19.076894185693316
"Kentville, Town (T)",45.07205627894064,-64.51683901807753,6630,4,16.604692414091705
